,units_min,units_max,course_number,course_name,course_subject,instructor,quarters
165,3,5,325B,"Data for Sustainable Development (EARTHSYS 162, EARTHSYS 262)",CS,"Burke, M.",['Autumn']
166,3,4,326,Topics in Advanced Robotic Manipulation,CS,"Bohg, J.",['Autumn']
167,3,3,329D,Machine Learning Under Distributional Shifts,CS,"Hashimoto, T.",['Autumn']
168,3,3,329E,Machine Learning on Embedded Systems (EE 292D),CS,"Katti, S.",['Autumn']
169,3,4,329P,Practical Machine Learning,CS,"Huang, Q.",['Autumn']
170,3,4,329S,Machine Learning Systems Design,CS,"Nguyen, H.",['Winter']
171,3,3,329T,Trustworthy Machine Learning,CS,"Mitchell, J.",['Spring']
172,3,3,330,Deep Multi-task and Meta Learning,CS,"Finn, C.",['Autumn']
173,3,4,333,Algorithms for Interactive Robotics,CS,"Sadigh, D.",['Winter']
174,1,4,337,AI-Assisted Care (MED 277),CS,"Li, F.",['Autumn']
175,3,3,342,Building for Digital Health (MED 253),CS,"Aalami, O.",['Winter']
176,3,3,343D,Domain-Specific Programming Models and Compilers,CS,"Kjoelstad, F.",['Autumn']
177,3,4,347,Human-Computer Interaction: Foundations and Frontiers,CS,"Agrawala, M.",['Spring']
178,3,4,348B,Computer Graphics: Image Synthesis Techniques,CS,"Fatahalian, K.",['Spring']
179,3,3,348C,Computer Graphics: Animation and Simulation,CS,"James, D.",['Winter']
180,3,3,348E,"Character Animation: Modeling, Simulation, and Control of Human Motion",CS,"Liu, K.",['Spring']
181,3,4,348I,Computer Graphics in the Era of AI,CS,"Wu, J.",['Autumn']
182,3,4,348K,Visual Computing Systems,CS,"Fatahalian, K.",['Spring']
183,3,3,348N,Neural Models for 3D Geometry,CS,"Guibas, L.",['Winter']
184,3,3,349D,Cloud Computing Technology,CS,"Kozyrakis, C.",['Autumn']
185,3,3,349H,Software Techniques for Emergent Hardware Platforms (EE 292Y),CS,"Achour, S.",['Autumn']
186,3,4,349M,Machine Learning for Software Engineering,CS,,['Spring']
187,3,3,354,Topics in Intractability: Unfulfilled Algorithmic Fantasies,CS,"Rubinstein, A.",['Winter']
188,3,3,355,Advanced Topics in Cryptography,CS,"Ozdemir, A.",['Spring']
189,3,3,356,Topics in Computer and Network Security,CS,"Durumeric, Z.",['Winter']
190,3,3,357S,Formal Methods for Computer Systems,CS,"Trippel, C.",['Autumn']
191,3,5,360,Simplicity and Complexity in Economic Theory (ECON 284),CS,"Milgrom, P.",['Spring']
192,3,4,361,Engineering Design Optimization (AA 222),CS,"Kochenderfer, M.",['Spring']
193,3,3,366,Computational Social Choice (MS&E 336),CS,"Goel, A.",['Autumn']
194,3,3,368,Algorithmic Techniques for Big Data,CS,"Charikar, M.",['Spring']
195,3,3,369Z,Dynamic Data Structures for Graphs,CS,"Charikar, M.",['Autumn']
196,3,3,371,"Computational Biology in Four Dimensions (BIOMEDIN 371, BIOPHYS 371, CME 371)",CS,,['Winter']
197,3,3,372,Artificial Intelligence for Disease Diagnosis and Information Recommendations,CS,"Chang, E.",['Spring']
198,3,4,377G,Designing Serious Games,CS,,['Winter']
199,3,4,377Q,Designing for Accessibility (ME 214),CS,"Tang, J.",['Spring']
200,3,4,377U,Understanding Users,CS,"Bentley, F.",['Spring']
201,1,1,390A,Curricular Practical Training,CS,"Bejerano, G.","['Summer', 'Spring', 'Autumn', 'Winter']"
202,1,1,390B,Curricular Practical Training,CS,"Bejerano, G.","['Summer', 'Spring', 'Autumn', 'Winter']"
203,1,1,390C,Curricular Practical Training,CS,"Bejerano, G.","['Summer', 'Spring', 'Autumn', 'Winter']"
204,1,1,390D,Part-time Curricular Practical Training,CS,"Kundaje, A.","['Summer', 'Spring', 'Autumn', 'Winter']"
205,1,9,393,Computer Laboratory,CS,,['Autumn']
206,1,6,395,Independent Database Project,CS,"Roughgarden, T.",['Autumn']
207,4,4,398,Computational Education,CS,,['Spring']
208,1,9,399,Independent Project,CS,"Yamins, D.","['Summer', 'Spring', 'Autumn', 'Winter']"
209,1,9,399P,Independent Project,CS,"Ullman, J.","['Summer', 'Spring', 'Autumn', 'Winter']"
210,3,3,422,Interactive and Embodied Learning (EDUC 234A),CS,"Li, F.",['Winter']
211,3,3,428B,"Probabilistic Models of Cognition: Language (LINGUIST 238B, PSYCH 220B)",CS,"Goodman, N.",['Autumn']
212,3,3,432,Computer Vision for Education and Social Science Research (EDUC 463),CS,"Haber, N.",['Winter']
213,3,4,448B,Data Visualization (SYMSYS 195V),CS,"Agrawala, M.",['Autumn']
214,3,3,448I,Computational Imaging (EE 367),CS,"Wetzstein, G.",['Winter']
215,3,4,476A,"Music, Computing, Design: The Art of Design (MUSIC 256A)",CS,"Wang, G.",['Autumn']
216,3,3,498C,Introduction to CSCL: Computer-Supported Collaborative Learning (EDUC 315A),CS,"Pea, R.",['Winter']
217,1,15,499,Advanced Reading and Research,CS,"Fisher, K.","['Summer', 'Spring', 'Autumn', 'Winter']"
218,1,15,499P,Advanced Reading and Research,CS,"Koller, D.","['Summer', 'Spring', 'Autumn', 'Winter']"
219,1,1,520,Knowledge Graphs,CS,,['Spring']
220,1,1,521,Seminar on AI Safety,CS,"Corso, A.",['Spring']
221,1,1,522,Seminar in Artificial Intelligence in Healthcare,CS,"Dror, R.",['Autumn']
222,1,2,523,Research Seminar in Computer Vision + X,CS,,['Spring']
223,1,1,528,Machine Learning Systems Seminar,CS,"Re, C.","['Spring', 'Autumn', 'Winter']"
224,1,1,529,Robotics and Autonomous Systems Seminar (AA 289),CS,"Pavone, M.","['Spring', 'Winter']"
225,1,1,547,Human-Computer Interaction Seminar,CS,"Follmer, S.","['Spring', 'Autumn', 'Winter']"
226,0,0,802,TGR Dissertation,CS,"Dally, B.","['Summer', 'Spring', 'Autumn', 'Winter']"
